site_name,county,state,lat,lng
Dollar General Retail #1437,Stark County,OH,38.7527,-82.4341
Amazon Fulfillment #1438,Cochise County,AZ,35.2481,-109.8824
Walmart Supercenter #1439,Cameron County,TX,32.0692,-105.3768
Target Store #1440,Volusia County,FL,30.2262,-85.4412
Home Depot Hub #1441,Fulton County,GA,34.3175,-83.5273
Costco Wholesale #1442,Mecklenburg County,NC,35.9281,-78.184
Dollar General Retail #1443,Hamilton County,OH,39.9101,-83.0663
Amazon Fulfillment #1444,Yavapai County,AZ,34.6945,-109.4299
Walmart Supercenter #1445,Ector County,TX,32.9837,-94.0213
Target Store #1446,Palm Beach County,FL,27.8691,-80.7914
Home Depot Hub #1447,Forsyth County,GA,32.872,-83.5401
Costco Wholesale #1448,Union County,NC,35.1588,-80.8883
Dollar General Retail #1449,Lorain County,OH,39.7877,-83.272
Amazon Fulfillment #1450,Apache County,AZ,32.503,-111.0972
Walmart Supercenter #1451,Denton County,TX,30.7787,-99.485
Target Store #1452,Miami-Dade County,FL,29.686,-85.1569
Home Depot Hub #1453,Cobb County,GA,33.9889,-82.5896
Costco Wholesale #1454,Forsyth County,NC,35.638,-77.0828
Dollar General Retail #1455,Montgomery County,OH,39.5065,-82.4488
Amazon Fulfillment #1456,Yuma County,AZ,33.5085,-111.69
Walmart Supercenter #1457,El Paso County,TX,31.1642,-103.1851
Target Store #1458,Polk County,FL,26.86,-81.7617
Home Depot Hub #1459,Clayton County,GA,31.0371,-84.7865
Costco Wholesale #1460,Gaston County,NC,35.4676,-81.2678
Dollar General Retail #1461,Franklin County,OH,39.4266,-83.0906
Amazon Fulfillment #1462,Pima County,AZ,33.2463,-110.896
Walmart Supercenter #1463,Dallas County,TX,30.8929,-95.6733
Target Store #1464,Pinellas County,FL,30.2424,-83.7825
Home Depot Hub #1465,Chatham County,GA,33.3298,-82.0718
Costco Wholesale #1466,Durham County,NC,36.0735,-77.2942
Dollar General Retail #1467,Stark County,OH,39.7942,-82.3506
Amazon Fulfillment #1468,Cochise County,AZ,35.0397,-114.3386
Walmart Supercenter #1469,Brazos County,TX,26.8363,-98.1512
Target Store #1470,Volusia County,FL,26.0532,-81.7244
Home Depot Hub #1471,Fulton County,GA,32.0889,-81.2319
Costco Wholesale #1472,Mecklenburg County,NC,36.4113,-77.7055
Dollar General Retail #1473,Hamilton County,OH,40.1223,-83.3009
Amazon Fulfillment #1474,Yavapai County,AZ,33.7078,-110.8931
Walmart Supercenter #1475,McLennan County,TX,29.4113,-101.8658
Target Store #1476,Palm Beach County,FL,26.3518,-81.5544
Home Depot Hub #1477,Forsyth County,GA,33.7067,-84.0041
Costco Wholesale #1478,Union County,NC,34.7253,-81.6621
Dollar General Retail #1479,Lorain County,OH,41.4774,-84.4756
Amazon Fulfillment #1480,Apache County,AZ,33.6795,-112.9591
Walmart Supercenter #1481,Travis County,TX,27.6562,-95.5615
Target Store #1482,Miami-Dade County,FL,27.8725,-80.1126
Home Depot Hub #1483,Cobb County,GA,32.7055,-83.4018
Costco Wholesale #1484,Forsyth County,NC,34.3221,-82.1637
Dollar General Retail #1485,Montgomery County,OH,39.2257,-81.6359
Amazon Fulfillment #1486,Yuma County,AZ,35.1421,-112.4508
Walmart Supercenter #1487,Williamson County,TX,31.9239,-104.628
Target Store #1488,Polk County,FL,27.6955,-87.157
Home Depot Hub #1489,Clayton County,GA,33.4792,-81.3779
Costco Wholesale #1490,Gaston County,NC,35.3549,-82.8351
Dollar General Retail #1491,Franklin County,OH,39.8466,-83.8621
Amazon Fulfillment #1492,Pima County,AZ,34.6816,-109.4885
Walmart Supercenter #1493,Lubbock County,TX,33.8121,-97.231
Target Store #1494,Pinellas County,FL,26.2395,-81.1004
Home Depot Hub #1495,Chatham County,GA,34.751,-85.277
Costco Wholesale #1496,Durham County,NC,35.5623,-80.0964
Dollar General Retail #1497,Stark County,OH,39.0078,-82.4697
Amazon Fulfillment #1498,Cochise County,AZ,31.6832,-110.0896
Walmart Supercenter #1499,Cameron County,TX,28.0164,-101.875
Target Store #1500,Volusia County,FL,30.1645,-86.5197
